,beta,gamma,size,file_name
10,10.8,0.9,481906,phase/N_400_Nit_24999_a_0.5_b_10.8_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
11,10.8,1.0,304826,phase/N_400_Nit_24999_a_0.5_b_10.8_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
12,11.9,0.05,357642,phase/N_400_Nit_24999_a_0.5_b_11.9_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
13,11.9,0.1,680939,phase/N_400_Nit_24999_a_0.5_b_11.9_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
14,11.9,0.2,570140,phase/N_400_Nit_24999_a_0.5_b_11.9_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
15,11.9,0.30000000000000004,560146,phase/N_400_Nit_24999_a_0.5_b_11.9_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
16,11.9,0.4,540430,phase/N_400_Nit_24999_a_0.5_b_11.9_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
17,11.9,0.5,335957,phase/N_400_Nit_24999_a_0.5_b_11.9_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
18,11.9,0.6,349971,phase/N_400_Nit_24999_a_0.5_b_11.9_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
19,11.9,0.7000000000000001,575577,phase/N_400_Nit_24999_a_0.5_b_11.9_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
20,11.9,0.8,503922,phase/N_400_Nit_24999_a_0.5_b_11.9_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
21,11.9,0.9,155082,phase/N_400_Nit_24999_a_0.5_b_11.9_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
22,11.9,1.0,168391,phase/N_400_Nit_24999_a_0.5_b_11.9_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
1,13.0,0.05,595321,phase/N_400_Nit_24999_a_0.5_b_13.0_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
2,13.0,0.1,547077,phase/N_400_Nit_24999_a_0.5_b_13.0_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
3,13.0,0.2,1076015,phase/N_400_Nit_24999_a_0.5_b_13.0_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
4,13.0,0.30000000000000004,1180999,phase/N_400_Nit_24999_a_0.5_b_13.0_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
5,13.0,0.4,1227126,phase/N_400_Nit_24999_a_0.5_b_13.0_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
6,13.0,0.5,1278149,phase/N_400_Nit_24999_a_0.5_b_13.0_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
