,beta,gamma,size,file_name
6,13.0,0.5,439835,phase/N_400_Nit_25000_a_0.5_b_13.0_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
7,13.0,0.6,835747,phase/N_400_Nit_25000_a_0.5_b_13.0_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
8,13.0,0.7000000000000001,863574,phase/N_400_Nit_25000_a_0.5_b_13.0_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
9,13.0,0.8,805318,phase/N_400_Nit_25000_a_0.5_b_13.0_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
10,13.0,0.9,148620,phase/N_400_Nit_25000_a_0.5_b_13.0_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
11,13.0,1.0,151391,phase/N_400_Nit_25000_a_0.5_b_13.0_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
12,14.0,0.05,166819,phase/N_400_Nit_25000_a_0.5_b_14.0_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
13,14.0,0.1,194954,phase/N_400_Nit_25000_a_0.5_b_14.0_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
14,14.0,0.2,194142,phase/N_400_Nit_25000_a_0.5_b_14.0_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
15,14.0,0.30000000000000004,186964,phase/N_400_Nit_25000_a_0.5_b_14.0_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
16,14.0,0.4,169613,phase/N_400_Nit_25000_a_0.5_b_14.0_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
17,14.0,0.5,163863,phase/N_400_Nit_25000_a_0.5_b_14.0_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
18,14.0,0.6,195003,phase/N_400_Nit_25000_a_0.5_b_14.0_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
19,14.0,0.7000000000000001,177654,phase/N_400_Nit_25000_a_0.5_b_14.0_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
20,14.0,0.8,153361,phase/N_400_Nit_25000_a_0.5_b_14.0_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
21,14.0,0.9,151267,phase/N_400_Nit_25000_a_0.5_b_14.0_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
22,14.0,1.0,154090,phase/N_400_Nit_25000_a_0.5_b_14.0_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
1,15.1,0.05,342417,phase/N_400_Nit_25000_a_0.5_b_15.1_c_0.05_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
2,15.1,0.1,301762,phase/N_400_Nit_25000_a_0.5_b_15.1_c_0.1_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
3,15.1,0.2,392719,phase/N_400_Nit_25000_a_0.5_b_15.1_c_0.2_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
4,15.1,0.30000000000000004,387598,phase/N_400_Nit_25000_a_0.5_b_15.1_c_0.30000000000000004_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
5,15.1,0.4,437517,phase/N_400_Nit_25000_a_0.5_b_15.1_c_0.4_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
6,15.1,0.5,285326,phase/N_400_Nit_25000_a_0.5_b_15.1_c_0.5_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
7,15.1,0.6,835529,phase/N_400_Nit_25000_a_0.5_b_15.1_c_0.6_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
8,15.1,0.7000000000000001,849347,phase/N_400_Nit_25000_a_0.5_b_15.1_c_0.7000000000000001_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
9,15.1,0.8,831601,phase/N_400_Nit_25000_a_0.5_b_15.1_c_0.8_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
10,15.1,0.9,149151,phase/N_400_Nit_25000_a_0.5_b_15.1_c_0.9_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
11,15.1,1.0,137747,phase/N_400_Nit_25000_a_0.5_b_15.1_c_1.0_DU_0.01_DV_1_dt_0.05_cmap_viridis.png
